   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
         3   9.076                 64   300           -653.44         9.076          9.076          9.076          3490.2946      4084.7287      3266.8563      3119.2987    
        10   9.076                 64   268.97893     -653.18306      9.076          9.076          9.076          6495.4935      7369.8177      5963.1374      6153.5253    
        20   9.076                 64   221.93554     -652.80861      9.076          9.076          9.076          15109.124      16504.345      14300.133      14522.893    
        30   9.076                 64   211.80286     -652.72029      9.076          9.076          9.076          21870.668      21653.646      22992.297      20966.061    
        40   9.076                 64   180.62303     -652.45816      9.076          9.076          9.076          24219.18       23280.274      26168.848      23208.417    
        50   9.076                 64   200.67094     -652.62386      9.076          9.076          9.076          18285.783      19478.178      18400.1        16979.071    
        60   9.0760001             64   220.1338      -652.79608      9.0760001      9.0760001      9.0760001      9366.1987      10640.042      9234.6914      8223.8623    
        70   9.0760001             64   250.03585     -653.03597      9.0760001      9.0760001      9.0760001      3828.8652      4710.7917      4097.3091      2678.4947    
        80   9.0760001             64   221.88659     -652.81279      9.0760001      9.0760001      9.0760001      7696.5688      9397.7052      7620.2395      6071.7618    
        90   9.0760001             64   198.73199     -652.6276       9.0760001      9.0760001      9.0760001      17611.864      20080.225      17845.749      14909.618    
       100   9.0760002             64   215.9474      -652.78274      9.0760002      9.0760002      9.0760002      29603.797      31206.439      31475.123      26129.83     
       110   9.0760002             64   183.32615     -652.52433      9.0760002      9.0760002      9.0760002      41939.533      42136.783      43437.882      40243.935    
       120   9.0760003             64   216.21844     -652.7643       9.0760003      9.0760003      9.0760003      43057.778      43456.334      42518.134      43198.864    
       130   9.0760003             64   224.57429     -652.82671      9.0760003      9.0760003      9.0760003      43571.383      43013.142      40827.665      46873.342    
       140   9.0760004             64   227.35171     -652.83753      9.0760004      9.0760004      9.0760004      60432.928      58337.119      55548.804      67412.86     
       150   9.0760005             64   212.47738     -652.70538      9.0760005      9.0760005      9.0760005      93174.262      90172.474      87792.563      101557.75    
       160   9.0760006             64   245.86206     -652.99177      9.0760006      9.0760006      9.0760006      112918.05      110394.64      107769.73      120589.78    
       170   9.0760007             64   250.45305     -653.02239      9.0760007      9.0760007      9.0760007      115264.27      116139.58      108349.26      121303.96    
