   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      5000   8.484                 64   300           -423.36         8.484          8.484          8.484          4273.1049      4998.1578      3998.656       3822.5009    
      5100   8.4840001             64   173.81483     -421.92292      8.4840001      8.4840001      8.4840001      11771.897      13653.365      10267.362      11394.963    
      5200   8.4840005             64   180.87097     -421.37007      8.4840005      8.4840005      8.4840005      15489.887      17174.837      13947.263      15347.561    
      5300   8.4840011             64   256.01987     -421.23306      8.4840011      8.4840011      8.4840011      17537.37       17614.463      16999.089      17998.557    
      5400   8.4840021             64   253.43039     -420.52624      8.4840021      8.4840021      8.4840021      23078.724      29012.669      19893.243      20330.258    
      5500   8.4840034             64   304.94495     -420.45641      8.4840034      8.4840034      8.4840034      24902.168      32137.221      21955.254      20614.028    
      5600   8.4840053             64   441.6921      -421.55101      8.4840053      8.4840053      8.4840053      18894.753      19045.628      18517.11       19121.521    
      5700   8.4840075             64   344.71343     -421.19476      8.4840075      8.4840075      8.4840075      19791.763      22785.376      20445.58       16144.334    
      5800   8.4840102             64   203.16335     -420.43436      8.4840102      8.4840102      8.4840102      23657.363      25548.508      23365.698      22057.885    
      5900   8.4840132             64   277.65145     -421.09174      8.4840132      8.4840132      8.4840132      19922.449      24267.107      16661.427      18838.814    
      6000   8.4840167             64   259.83485     -420.60981      8.4840167      8.4840167      8.4840167      21860.065      25117.018      18941.276      21521.903    
      6100   8.4840205             64   291.34276     -420.41272      8.4840205      8.4840205      8.4840205      24168.866      25235.37       22000.015      25271.215    
      6200   8.4840248             64   424.84699     -421.51932      8.4840248      8.4840248      8.4840248      18459.032      21804.89       14940.536      18631.672    
      6300   8.4840295             64   354.18391     -421.27422      8.4840295      8.4840295      8.4840295      18940.677      22397.978      17184.467      17239.587    
      6400   8.4840346             64   242.35901     -420.51126      8.4840346      8.4840346      8.4840346      21557.874      26245.397      18229.449      20198.776    
      6500   8.4840401             64   241.62222     -420.48013      8.4840401      8.4840401      8.4840401      22263.925      24974.469      21354.095      20463.213    
      6600   8.484046              64   296.2822      -420.82556      8.484046       8.484046       8.484046       20595.685      22769.796      19024.258      19993.001    
      6700   8.4840523             64   312.30261     -420.78963      8.4840523      8.4840523      8.4840523      21562.222      21421.757      20068.158      23196.752    
      6800   8.484059              64   413.00351     -421.39253      8.484059       8.484059       8.484059       19214.309      20181.229      20211.508      17250.191    
      6900   8.4840662             64   399.15273     -421.36054      8.4840662      8.4840662      8.4840662      19291.74       16450.066      17239.097      24186.056    
      7000   8.4840738             64   255.48441     -420.72474      8.4840738      8.4840738      8.4840738      22274.624      24991.863      21072.056      20759.952    
      7100   8.4840817             64   227.2536      -420.72573      8.4840817      8.4840817      8.4840817      21215.011      24483.171      18563.789      20598.072    
      7200   8.4840901             64   300.16078     -421.13519      8.4840901      8.4840901      8.4840901      19498.485      20551.198      16344.178      21600.079    
      7300   8.4840988             64   284.40979     -420.39755      8.4840988      8.4840988      8.4840988      23460.555      25038.107      18559.471      26784.086    
      7400   8.484108              64   357.39848     -420.84566      8.484108       8.484108       8.484108       22348.823      23184.152      23489.374      20372.942    
      7500   8.4841176             64   340.27608     -420.96036      8.4841176      8.4841176      8.4841176      21292.489      22511.459      21830.68       19535.328    
      7600   8.4841277             64   233.26044     -420.44971      8.4841277      8.4841277      8.4841277      23135.939      21550.809      23345.084      24511.923    
      7700   8.4841381             64   245.69937     -420.75329      8.4841381      8.4841381      8.4841381      20962.639      23411.822      18733.434      20742.66     
      7800   8.4841489             64   286.74288     -421.01389      8.4841489      8.4841489      8.4841489      19847.696      22157.115      15527.709      21858.264    
      7900   8.4841601             64   328.505       -420.65537      8.4841601      8.4841601      8.4841601      22231.497      26871.015      18191.333      21632.142    
