   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
         0   9.24                  64   300           -472.74587      9.24           9.24           9.24          -10490.741     -9927.5259     -10702.799     -10841.897    
       100   9.2399887             64   203.30654     -471.98297      9.2399887      9.2399887      9.2399887     -9137.8914     -8314.6764     -8880.6468     -10218.351    
       200   9.2399546             64   132.62334     -471.38132      9.2399546      9.2399546      9.2399546     -7942.2459     -6235.0623     -8028.0471     -9563.6283    
       300   9.239898              64   149.11253     -471.51942      9.239898       9.239898       9.239898      -7549.3494     -7667.189      -5793.669      -9187.1903    
       400   9.239819              64   172.39162     -471.69648      9.239819       9.239819       9.239819      -8895.9074     -7707.6217     -9370.1123     -9609.9882    
       500   9.2397179             64   164.90576     -471.6382       9.2397179      9.2397179      9.2397179     -9013.4783     -8229.4518     -10141.506     -8669.4769    
       600   9.2395948             64   162.56224     -471.59953      9.2395948      9.2395948      9.2395948     -8206.541      -7664.4058     -9415.3515     -7539.8658    
       700   9.2394502             64   146.13135     -471.49614      9.2394502      9.2394502      9.2394502     -8466.2941     -7750.9101     -8876.4262     -8771.5459    
       800   9.2392843             64   151.69301     -471.54003      9.2392843      9.2392843      9.2392843     -8036.5208     -6537.4501     -8842.854      -8729.2581    
       900   9.2390974             64   180.17417     -471.78706      9.2390974      9.2390974      9.2390974     -7671.363      -5312.0383     -8219.1286     -9482.9221    
      1000   9.2388897             64   168.70898     -471.6576       9.2388897      9.2388897      9.2388897     -7627.9574     -6396.8958     -7965.9054     -8521.0711    
      1100   9.2386617             64   148.98631     -471.47644      9.2386617      9.2386617      9.2386617     -7514.9092     -6432.3855     -7910.3121     -8202.0299    
      1200   9.238414              64   165.39755     -471.58117      9.238414       9.238414       9.238414      -7234.3322     -6477.6128     -8813.4768     -6411.9072    
      1300   9.2381473             64   150.35172     -471.40022      9.2381473      9.2381473      9.2381473     -5961.3631     -4205.8585     -7490.3649     -6187.8659    
      1400   9.2378624             64   137.60141     -471.33955      9.2378624      9.2378624      9.2378624     -6163.1201     -5112.7556     -6205.3572     -7171.2476    
      1500   9.2375597             64   139.96282     -471.31209      9.2375597      9.2375597      9.2375597     -6467.5837     -4583.5821     -7805.2996     -7013.8693    
      1600   9.2372397             64   160.00521     -471.51993      9.2372397      9.2372397      9.2372397     -6798.066      -5877.8909     -7240.8693     -7275.4378    
      1700   9.2369028             64   150.47568     -471.4631       9.2369028      9.2369028      9.2369028     -7146.9517     -5807.2414     -8408.336      -7225.2779    
      1800   9.2365495             64   167.44769     -471.53353      9.2365495      9.2365495      9.2365495     -5991.1216     -4849.5851     -6407.2004     -6716.5793    
      1900   9.2361808             64   164.93282     -471.49198      9.2361808      9.2361808      9.2361808     -5193.8424     -3874.3407     -5799.2882     -5907.8983    
      2000   9.2357978             64   145.79606     -471.2316       9.2357978      9.2357978      9.2357978     -4669.1765     -4711.2131     -3597.768      -5698.5484    
      2100   9.2354012             64   158.32301     -471.32859      9.2354012      9.2354012      9.2354012     -4666.2994     -3982.3744     -3655.2074     -6361.3163    
      2200   9.2349921             64   165.57989     -471.32895      9.2349921      9.2349921      9.2349921     -3816.3367     -4356.2399     -3893.7034     -3199.0668    
      2300   9.2345716             64   166.05568     -471.36748      9.2345716      9.2345716      9.2345716     -4045.9353     -3753.582      -5215.7955     -3168.4284    
      2400   9.2341404             64   195.97703     -471.60819      9.2341404      9.2341404      9.2341404     -3760.3795     -2736.4987     -4053.0307     -4491.6091    
      2500   9.2336995             64   211.97415     -471.66393      9.2336995      9.2336995      9.2336995     -3449.4467     -3227.457      -3173.8076     -3947.0755    
      2600   9.23325               64   166.03564     -471.25592      9.23325        9.23325        9.23325       -2866.8127     -4200.6471     -4235.7792     -164.01204    
      2700   9.232793              64   190.31813     -471.44659      9.232793       9.232793       9.232793      -2852.3256     -3023.5138     -3434.4311     -2099.032     
      2800   9.2323295             64   195.31318     -471.43316      9.2323295      9.2323295      9.2323295     -2167.1225     -2353.9255     -2319.1615     -1828.2803    
      2900   9.2318604             64   190.77452     -471.40661      9.2318604      9.2318604      9.2318604     -1896.1039     -1641.7504     -2923.1554     -1123.4058    
      3000   9.2313871             64   183.86723     -471.27834      9.2313871      9.2313871      9.2313871     -1450.9566     -900.63248     -4297.665       845.42783    
      3100   9.2309106             64   187.89465     -471.307        9.2309106      9.2309106      9.2309106     -604.90534     -1402.8225     -1054.8722      642.97872    
      3200   9.2304318             64   158.76935     -471.09753      9.2304318      9.2304318      9.2304318     -825.49425     -152.5716      -1673.3602     -650.55093    
      3300   9.2299515             64   192.86257     -471.3396       9.2299515      9.2299515      9.2299515     -642.66188     -295.82051      39.42481      -1671.5899    
      3400   9.2294709             64   216.88956     -471.43209      9.2294709      9.2294709      9.2294709      829.96441      1181.9527      569.29988      738.64061    
      3500   9.2289914             64   210.99773     -471.38096      9.2289914      9.2289914      9.2289914      86.837798      1584.8768     -371.91415     -952.44926    
      3600   9.2285138             64   215.36474     -471.43003      9.2285138      9.2285138      9.2285138      165.85176      1162.0777     -395.00417     -269.51824    
      3700   9.2280391             64   207.66152     -471.34679      9.2280391      9.2280391      9.2280391      1452.49        1885.6565      2217.6168      254.19672    
      3800   9.2275683             64   167.41438     -471.00814      9.2275683      9.2275683      9.2275683      1436.4455      4647.7843      63.175595     -401.62335    
      3900   9.2271024             64   184.10181     -471.05182      9.2271024      9.2271024      9.2271024      2872.4411      5274.3349      2835.1462      507.84208    
      4000   9.2266425             64   203.97356     -471.18724      9.2266425      9.2266425      9.2266425      2667.3617      5182.6931      1376.3849      1443.0072    
      4100   9.2261898             64   180.99118     -470.98293      9.2261898      9.2261898      9.2261898      2975.8361      6497.0473      1065.1313      1365.3296    
      4200   9.2257454             64   176.83783     -470.91074      9.2257454      9.2257454      9.2257454      3357.7814      4714.6092      2458.8699      2899.8651    
      4300   9.2253101             64   210.66916     -471.21351      9.2253101      9.2253101      9.2253101      3423.7632      3763.5871      3182.5097      3325.1929    
      4400   9.2248846             64   200.51439     -471.15506      9.2248846      9.2248846      9.2248846      3682.1388      4315.0089      2290.6769      4440.7306    
      4500   9.2244697             64   189.51476     -471.06356      9.2244697      9.2244697      9.2244697      3950.3045      3355.552       4191.7293      4303.6323    
      4600   9.2240661             64   214.20121     -471.17482      9.2240661      9.2240661      9.2240661      4640.6979      5427.9667      4666.1734      3827.9535    
      4700   9.223675              64   219.87271     -471.21122      9.223675       9.223675       9.223675       4673.2291      5568.3357      4642.4612      3808.8903    
      4800   9.2232974             64   205.19995     -471.1473       9.2232974      9.2232974      9.2232974      4779.4359      6138.7876      3938.2506      4261.2694    
      4900   9.2229335             64   204.66174     -471.19315      9.2229335      9.2229335      9.2229335      5516.9864      6612.6775      4123.8084      5814.4733    
      5000   9.2225841             64   199.88723     -471.12967      9.2225841      9.2225841      9.2225841      5677.6364      6300.2838      6239.552       4493.0734    
      5100   9.2222498             64   197.57627     -471.1053       9.2222498      9.2222498      9.2222498      5479.1957      5714.8267      5801.3682      4921.3923    
      5200   9.2219313             64   242.32267     -471.42673      9.2219313      9.2219313      9.2219313      6465.5501      7161.4521      7366.2378      4868.9605    
      5300   9.2216296             64   231.67636     -471.30235      9.2216296      9.2216296      9.2216296      6068.3807      7028.7183      5076.2643      6100.1595    
      5400   9.2213453             64   212.64867     -471.15639      9.2213453      9.2213453      9.2213453      6312.5528      5515.1621      7648.1599      5774.3366    
      5500   9.2210789             64   206.56932     -471.13592      9.2210789      9.2210789      9.2210789      6635.3975      5914.4308      7368.8834      6622.8783    
      5600   9.2208309             64   192.13515     -470.94733      9.2208309      9.2208309      9.2208309      7023.6981      6938.3298      7721.1617      6411.6029    
