   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
         0   9.222                 64   300           -472.76778      9.222          9.222          9.222          1929.7432      2496.2623      1716.4407      1576.5266    
       100   9.2220054             64   202.92939     -472.00132      9.2220054      9.2220054      9.2220054      3282.4876      4138.9786      3549.3283      2159.156     
       200   9.2220214             64   134.31464     -471.41664      9.2220214      9.2220214      9.2220214      4308.4254      5804.8197      4338.5876      2781.8689    
       300   9.2220483             64   149.07532     -471.53574      9.2220483      9.2220483      9.2220483      4619.375       4278.9583      6251.3845      3327.7821    
       400   9.2220859             64   163.69229     -471.63629      9.2220859      9.2220859      9.2220859      3574.396       4501.4716      3120.2784      3101.4382    
       500   9.2221343             64   161.97465     -471.63038      9.2221343      9.2221343      9.2221343      3070.6567      4024.5423      1810.887       3376.5408    
       600   9.2221934             64   171.77659     -471.68608      9.2221934      9.2221934      9.2221934      3731.6264      4745.7072      2407.7827      4041.3893    
       700   9.2222635             64   152.28438     -471.57557      9.2222635      9.2222635      9.2222635      3513.7296      4371.2976      3486.1603      2683.731     
       800   9.2223441             64   135.75232     -471.45738      9.2223441      9.2223441      9.2223441      3975.8244      5887.5159      3414.8605      2625.097     
       900   9.2224349             64   171.16557     -471.73453      9.2224349      9.2224349      9.2224349      3976.2666      6000.1259      3772.0333      2156.6405    
      1000   9.2225359             64   172.43198     -471.71274      9.2225359      9.2225359      9.2225359      3502.0266      4510.5796      3032.319       2963.1811    
      1100   9.2226469             64   125.59553     -471.33144      9.2226469      9.2226469      9.2226469      3833.1763      5400.6621      2923.2175      3175.6493    
      1200   9.2227678             64   133.66779     -471.36369      9.2227678      9.2227678      9.2227678      4584.9485      4847.3852      3734.3918      5173.0686    
      1300   9.2228988             64   160.21769     -471.49114      9.2228988      9.2228988      9.2228988      4393.9763      5589.6295      2939.5091      4652.7903    
      1400   9.2230399             64   168.54276     -471.56264      9.2230399      9.2230399      9.2230399      3249.2717      4621.2403      2467.501       2659.0739    
      1500   9.223191              64   163.40172     -471.50341      9.223191       9.223191       9.223191       3181.6953      5278.3939      2284.3405      1982.3514    
      1600   9.2233518             64   151.2709      -471.40448      9.2233518      9.2233518      9.2233518      3371.6918      4543.3959      2156.4271      3415.2524    
      1700   9.2235218             64   130.36516     -471.26403      9.2235218      9.2235218      9.2235218      3261.6049      4932.5462      2099.7275      2752.5408    
      1800   9.2237005             64   160.14645     -471.43679      9.2237005      9.2237005      9.2237005      3428.3198      4910.9573      3220.3737      2153.6283    
      1900   9.2238883             64   181.21951     -471.58927      9.2238883      9.2238883      9.2238883      3217.4178      4200.0841      2140.4215      3311.7479    
      2000   9.2240849             64   160.28205     -471.33518      9.2240849      9.2240849      9.2240849      3019.6878      3082.7161      2662.7877      3313.5596    
      2100   9.22429               64   154.98774     -471.30414      9.22429        9.22429        9.22429        3005.4305      4226.1958      2437.6157      2352.48      
      2200   9.2245035             64   160.30435     -471.32526      9.2245035      9.2245035      9.2245035      3129.0934      3541.1022      2302.5618      3543.6161    
      2300   9.2247249             64   161.98502     -471.35085      9.2247249      9.2247249      9.2247249      2631.4665      3416.9994      1066.3048      3411.0953    
      2400   9.2249539             64   200.43622     -471.70515      9.2249539      9.2249539      9.2249539      2447.2725      2296.666       1209.7361      3835.4155    
      2500   9.2251901             64   211.6876      -471.70172      9.2251901      9.2251901      9.2251901      2369.3843      3440.8399      1697.5821      1969.7309    
      2600   9.2254333             64   184.81        -471.451        9.2254333      9.2254333      9.2254333      1863.7477      2539.4441      1582.6305      1469.1686    
      2700   9.2256833             64   168.1749      -471.29274      9.2256833      9.2256833      9.2256833      2373.1288      3138.1375      277.13728      3704.1114    
      2800   9.2259398             64   169.49686     -471.25079      9.2259398      9.2259398      9.2259398      2859.4044      4428.7065     -48.804231      4198.3109    
      2900   9.2262024             64   155.71049     -471.13518      9.2262024      9.2262024      9.2262024      2910.5187      4235.9947      2073.0886      2422.4728    
      3000   9.226471              64   177.5029      -471.27197      9.226471       9.226471       9.226471       1811.1889      2888.7636      662.04829      1882.7548    
